Event Name,Description,Theme
The Cyberfem Experience,descriptionimproviser comedienne amanda federico partnership historic comedy asu club conglomerate brings multimedia technofeminist satire comedy show mu stage cyberfem experience part federicos barrett honors college thesiscreative project cyberfem experience takes current feminist issues within tech industry online communities extrapolates notsodistant future makes buys technology altright pipeline indoctrinate victims would world like cybergirlfriends women actually suck playing video games kinds important questions presented investigated within show approachable avenue comedy federico aims bring attention explore modernday feminist issues might become nonthreatening way join us memorial union stage open curious mind cyberfem experience,Art & Music
Barrett Choir Spring 2023 Retreat,descriptionsemi annual barrett choir retreat,Art & Music
Open Rehearsal with Kristina Wong,descriptionkristina wong actual elected representative koreatown los angeles created raucous show current stint public office scrappy performance artist bright future reality television system used ridicule one become effective performance artist politician abolish ice actually difference performance art politics kristina wong public office comedic performance crosses aesthetics campaign rallies church revivals solo theater shows tell story means run local office history voting impact artists democracy join us sneak peak free open rehearsal asu gammage,Art & Music
SJP Temporary Art demonstration,descriptiona public demonstration grass hayden art found throughout palestine,Art & Music
Polymetric Performance Night,descriptiondo like perform like supporting peers like performing like free food come polymetric performance night enjoy night live music pizza snacks would like perform sign link midnight wednesday march th,Art & Music
Showtime at the Stadium: CODA,descriptionif like movies field love showtime stadium join us friday march screening coda presented partnership deaf devils asu march pm doors open pm showtime pm san tan ford club sun devil stadium bring friends family enjoy awardwinning film inside sun devil stadium registration open asu local community register learn visit linksasueducucoda synopsis child deaf adults coda ruby hearing person deaf family familys fishing business threatened ruby finds torn pursuing passion berklee college music fear abandoning parents starring emilia jones eugenio derbez troy kotsur ferdia walshpeelo daniel durant marlee matlin runtime minutes rated pg additional details entry san tan ford club event northeast southeast gates sun devil stadium asu clear bag policy effect concessions available purchase outside food drink allowed,Art & Music
Kristina Wong for Public Office,descriptionkristina wong actual elected representative koreatown los angeles created raucous show current stint public office scrappy performance artist bright future reality television system used ridicule one become effective performance artist politician abolish ice actually difference performance art politics kristina wong public office comedic performance crosses aesthetics campaign rallies church revivals solo theater shows tell story means run local office history voting impact artists democracy student tickets available asu gammage box office showtime saturday march join us party happening right performance,Art & Music
Hop Into Spring Event,descriptionhop spring us decoratingpainting pot planting flowers veggies fruits supplies provided invite friends peers santan w march th pm,Art & Music
Scriptless Returns,descriptioncome join us weekly club meeting new location,Art & Music
Herstory & Cookies,descriptionjoin changemakers celebration womens history month come decorate cookies herstory colored icing learn history,Art & Music
Latin Sol,descriptionfounded latin sol dance festival hosted salsa club asu collaboration asu music dance theatre arizona state university brings communities together provides space learning movement within latin styles professional artists chosen brought teach weekend latin movement history day includes full day classes ends celebratory social event brings together guest artists festival participants evening dance,Art & Music
Devilpalooza 2023,descriptionjoin us largest student event year gates open pm attending person show also available via livestream asu students cannot wish attend person asu login required viewing headliner rl grime studentonly event guests permitted inperson attendees must downloaded event pass enter event clear bag policy proactive measure enhance safety inside outside event speed security screening process attendees following bags allowed inside backpacks solid large purses fanny packs solid camera bags oversized tote bags diaper bags binoculars case mesh bag reusable grocery bag solid patterned bag solid colored drawstring bag following bags allowed inside event bags backpacks clear plastic vinyl pvc exceed x x onegallon clear plastic freezer bag ziploc bag similar small clutch bags larger x without handle strap following items prohibited inside event soft hardsided coolers ice chests glass ceramic metal containers outside beverages use tobacco products including ecigarettes smokeless cigarettestobacco backpacks bags similar bags larger x x bikes skateboards scooters hoverboards longboards umbrellas sticks poles similar objects weapons kind fireworks drones laser pointers artificial noisemakers example air horns thunderstix musical instruments cans filled contents whistles cow bells item used make artificial noise petsanimals chairs stools projectile unauthorized cameras lenses longer inches interchangeable telephoto lenses unauthorized video cameras monopods tripods selfie sticks clear plastic empty water bottles permitted inside event,Art & Music
Vision Board Making,descriptionjoin friends recovery asu sdfw wellness monday march create visualization goals event pm infinity studio tempe sdfc encourage bring whatever materials pictures want incorporate vision board event hope able focus goals dreams images represent want achieve gain create,Art & Music
Marc La Pointe Artist Talk: Elsewheres and Elsewhens,description marc la pointe hehim queer interdisciplinary artist creates work engages contingency place encounters memory material marc share work discuss materials bare capacity take us elsewhere elsewhen artist statement collectora collector stories gestures vessels carry past fragments conduits prompt narratives drift like ghosts becomes becomes permeability cradled uncanny empathies surface body material art practice create assemblages performances installations bare elsewhere elsewhens cannot quite reach artist biography marc la pointe hehim queer interdisciplinary artist whose work engages contingency place encounters memory material receiving mfa university minnesota shown national digital international exhibitions marc worked project coordinated winter alive art carnival madison wi designed incite contemplation community action combat global climate crisis international conference contemporary cast iron art berlin marc panelist iron art protest identity liberation panel organized oliver charles explored molten metal catalyst revolution rugged individualism hierarchical social structure recently marc performed tethered never biennial faculty exhibition boise state university navigated longing poetic intersection body site material,Art & Music
Crafty Devils,descriptionjoin aisss west arts crafts every tuesday pm supplies painting earringmaking coloring provided snacks drinks available located lower level fletcher library,Art & Music
HERExpression Week: Art Festival,descriptionin honor womens history month womens coalition presents years herstory theme herexpression weeklong event honoring women different fields art,Art & Music
Bob Ross Painting Night,descriptionjoin us follow bob ross tutorial together paint supplies provided,Art & Music
Paint Pals,descriptiona laidback event students come together exchange advice experiences paint pals great way meet students major program looking grow careers free event allows students opportunity network others letting creativity run free paint tote bags college integrative sciences arts provide students necessary materials refreshments students receive small powerpoint presentation opportunities asu offer break groups ambassadors run conversation starters students feel free talk one another hopefully gain new perspective friend mentor conversations held provided material paint tote bags please free food also provided,Art & Music
RHA Exposé,descriptioncome join rha showcase rising talent asu rha expos successor infamous fauxchella provided students platform share creative work enjoy local student artists displaying talents stage art exhibit various activities handing exclusive shirts make sure come supplies last,Art & Music
Letterpress Keepsake Printing and Open House at ASU’s Pyracantha Press,descriptionplease join us special event hosted asus pyracantha press artists book collective abba buncha book artists view exhibit art process selections pyracantha press handprint letterpress keepsake th c metal type schedule noon pm research studio room preview art process behind scenes pyracantha press exhibit showcasing project mockups creative technical tests finished limitededition projects able handle pm pm research studio room handprint letterpress keepsake proof press light refreshments served event free open learn pyracantha press information please contact abunchabookartistscom abba collective instagram,Art & Music
MTSO Takes on the Symphony - The Princess Bride,descriptioncome join mtso phoenix symphony see princess bride symphony playing film large screen orchestra playing live score behind film incredible experience amazing way watch incredible film,Art & Music
"Desert Iron Symposium 2023 -- Marc La Pointe, Bobby Zokaites",descriptionsince fahrenheit cohosted iron pours annually every fall spring club members collaborate southwest regional colleges local industries community professionals pour thousands pounds molten iron hundred handmade sculptural molds event occurs semester process requires tenfoottall cupola week prepare year special guest artists marc la pointe bobby zokaites tentative timetable event march pm artists give presentations art assist preparation pour march preparation pour details tba april pm asu art pour take place closer noon,Art & Music
Reckless Underdog | RUBBERBAND,descriptionin new dance work reckless underdog rubberband artistic director choreographer victor quijada overturned traditional conventions dance blending choreographic principles street dance origins dazzling three act masterpiece exploring new interpretations ballet breakdance theater dance piece whole new way experience dance choreography student tickets available asu gammage box office join us show complimentary food drinks plus qa artists,Art & Music
Barrett Choir End of Year Celebration in Honor of David Schildkret,descriptionan event celebrate end school year conductor david schildkret,Art & Music
SOA Club Reregistration 2023!,descriptioncalling school art club leaders current incoming please join caroline schmidt school art reregistration party clubs required annually reregister sundevilsync reregistration period early april regardless club established check reregistration list joining us event bring laptop ask questions process receive assistance eat pizza details tuesday april th pm wong studio rm art bldg faculty members also welcome attend rsvp please rsvp monday april rd noon,Art & Music
Kappa Delta Chi Latin Night,descriptionwe latin night night music celebration culture,Art & Music
Eras Dance Party,descriptionthe taylor swift club hosting eras themed dance party wear best outfit get ready sing,Art & Music
Annual Sketch Crawl,descriptionthis th annual sketch crawl organized student asla organization professional chapter azasla faculty landscape architecture program asu past events brought nationally recognized urban sketchers asu campus give free public lecture meet students lead sketch crawl april world landscape architecture month asu sketch crawl important way celebrate raise visibility landscape architecture program asu,Art & Music
T-Shirt Tye Dye Drop In Service,descriptionstudents creating tiedye shirts honor pride week,Art & Music
Pitchforks Spring Concert: Celebrating 30 Years,descriptionthe pitchforks celebrating th year asu making us oldest group state arizona join us welcoming alumni special concert highlighting many accomplishments past three decades,Art & Music
Film Club Screening: Ghost in the Shell (1995),descriptionjoin film club thursday free screening ghost pm ss cady mall ghost adult animated neonoir cyberpunk thriller film directed mamoru oshii adapted frequent oshii collaborator kazunori film based manga name masamune shirow stars voices atsuko tanaka akio tsuka iemasa kayumi japanesebritish international coproduction executive produced kodansha bandai visual manga entertainment animation provided production ig film set japan follows motoko kusanagi cyborg publicsecurity agent hunts mysterious hacker known puppet master narrative incorporates philosophical themes focus selfidentity technologically advanced world music composed kenji kawai includes vocals classical japanese language films visuals created combination traditional cel animation cgi animation wikipedia year technology advanced far cyborgs commonplace addition human brains connect internet directly major motoko kusanagi officer section elite secretive police division deals special operations including counter terrorism cyber crime currently trail puppet master cyber criminal hacks brains cyborgs order obtain information commit crimes grantss,Art & Music
Who Are You?,descriptioncollege time learning want difficult figure come join us make big collective art piece leave mark asu help collage create small painting identity,Art & Music
Karaoke Night with PMC,descriptionsing heart play games get free food polymetric music club karaoke night everyone welcome,Art & Music
Friday Night Poetry Slam,description join devils inkwell explosive night original poetry free beverage friday night poetry slam opportunity student poets asu show artistic talent poets cannot wait make laugh cry wellcrafted verses event poets compete tournament style presenting poem loud front audience end night one reigning champion get tickets link,Art & Music
Undertones Spring Concert 2023,descriptionits undertones spring concert performing acapella songs working semester well solo performances family friends peers,Art & Music
Bob Ross Paint n' Sip with Das Tor,descriptionjoin das tor monday april th pub thunderbird dead hour painting sipping good times students receive blank canvas paint create guidance bob ross beautiful work art,Art & Music
ASU Authors on Tour: Chat with Dr. Pagan,descriptioncome chat dr eduardo pagan discuss book valley guns pleasant valley war trauma violence joins us book discussion get autograph asu author dr pagan,Art & Music
Earth Day Tote Bags,descriptioncome join us paint reusable tote bags help earth express creativity supporting sustainability tote bags painting supplies provided show take break paint,Art & Music
Learn How to Screen Print T-Shirts,descriptioncome learn screen print tshirts create design screen print provided tshirt,Art & Music
Unknown Artists,descriptionhow would like went completely unnoticed hard work put hours interactive event tries pay respects recognize hardworking artists names removed movies credits also learning animation multiple animationrelated activities,Art & Music
Speed Style,descriptionjoin us speed style mixer event fashion first student herberger office student engagement hosting fashion mixer fashion students socialize eat pizza participate exciting activities activities include speed style using clothes provided andor donated participants participants compete pick garments assemble outfits timed closet swap clothes donated used speed style participants option either donate garments swap peers,Art & Music
Karaoke Night,descriptionthis event entail fun karaoke along snacks pizza join us adelphi room next main adelphi office,Art & Music
TEMPEtations Spring Concert 2023,descriptionthe tempetations premier coed acapella group asu tempe campus spring debut variety songs arranged members group working throughout spring semester concert include set years icca quarter finals addition handful fun songs case wondering icca annual competition allows us demonstrate skills larger audience compete acapella groups within region previous years placed first third even seen group members win awards best soloist definitely worth come listen talented members usual songs performed acapella musical instruments pure talent baby hope see,Art & Music
All You Seed is Love,descriptionjoin changemaker upcycle used water bottlescans sunflower planters,Art & Music
The Chic Mag Launch Party,descriptionthe chic fashion journalism publication based downtown phoenix asu campus creates seasonal print magazine digital publication please join us april pm celebrate far chic come release spring issue art members put issue focusing community culture art focus written visual indepth story telling food drinks photos raffles,Art & Music
MGE Spring Semester Showcase,descriptiona semesterly showcase members present short films created course year open event meaning everyone attend,Art & Music
TASU End of Year Celebration,descriptionjoin tasu last event year catered dinner making friendship bracelets handing shirts officer elections next year,Art & Music
Welcome Event,descriptionwe handing club merch playing board games come enjoy,Art & Music
Amazon Labor Union Benefit Concert,descriptionalbum listening club presents collaboration blaze radio danny brown benefit concert amazon labor union featuring alu cofounder jordan flowers artist teek hall april th doors open location senita ballroom asu price free pay wish rsvp required reentry,Art & Music
Priority Male Spring Concert,descriptiona spring concert priority male allmale cappella group organized asu asu students provides chance showcase passion music share work family friends,Art & Music
Artivists Festival,descriptionwhat event designed highlight student community artists marginalized communities create platform spreading activism awareness art event consists classes performances dialogue showcasing marginalized voices community outstanding work entrepreneurship event gives underrepresented students chance show workbuild professional portfolios also connects people professionals field wavemakers bipoc lgbtq community,Art & Music
Poly Photo Club Spring Showcase,descriptionevery semester week finals photography club hosts photo showcase showcase way club share support work students set exhibit printed photos students club worked semester showcase important part getting students along faculty involved club showcase photos given library oncampus update current photos walls prints also distributed offices campus display,Art & Music
Beethoven Symphony No. 9,descriptionbarrett choir asu choirs performing beethovens symphony,Art & Music
"School of Music, Dance and Theatre Graduate Welcome 2023",descriptionwelcome asu incoming school music dance theatre graduate student meet faculty new students participate fun activities learn important policies procedures lead success time asu event devoted providing necessary information specific degree include breakout sessions area event required new mdt graduate students,Art & Music
The Design School Graduate Student Fall Welcome 2023,descriptionwelcome design school thrilled join us event begin warm welcome director paola sanguinetti followed brief presentation graduate advisors qa session program leadership faculty current students afterward grab free ice cream prepare exciting exercise alumni,Art & Music
"School of Music, Dance and Theatre TA Training 2023",descriptionwelcome new teaching assistants school music dance theatre session provide substantial amount information use new appointment information specific area music dance theatre ta training take place immediately school music dance theatre graduate welcome required new tas,Art & Music
An Evening With Janelle Monáe: Fall Welcome Speaker 2023,descriptionlivestream come night conversation guest celebrity fall welcome speaker represents opportunity engage asu students culture making positive change world reinforcing values institution reflected asu charter although event take place live desert financial arena streaming event viewing experience downtown polytechnic west locations well private livestream asu online students tempe doors desert financial arena open pm preshow begin pm speaker begin pm followed health wellness expo arena concourse polytechnic beginning pm join us cooley ballrooms polytechnic student union interactive livestream event exciting wellness activities downtown beginning pm join us sun devil fitness complex downtown group wellness nutrition sports demos followed interactive livestream event west beginning pm dinner served sun devil fitness complex west followed wellness activities interactive livestream event livestream accessible anyone asu sso login,Art & Music
ASU School of Art Undergraduate Fall Welcome 2023,descriptionwelcome school art glad please join us undergraduate fall welcome orientation include director presentation design north building cdn opportunity meet faculty event highly recommended incoming undergraduate students addition providing information school art departments also offer details resources services ways connect community well answer questions may soa swag provided looking forward seeing,Art & Music
InfernoFest 2023,descriptionjoin us asus signature fall concert infernofest featuring ferg tuesday august live sun devil stadium free asu students enter sw gate must event pass downloaded enter experience concert virtually linksasueduengage requires login students gates open pm clear bags empty clear water bottles permitted inside follow information,Art & Music
Scriptless: Welcome Back Meeting,descriptionjoin us first meeting fall semester welcome back celebration introduction club new members whether longtime member never meeting come see semester club make sure visit us passport asu well pm memorial union,Art & Music
ASU Winds Bands and Orchestras Auditions,descriptionwant join concert band play orchestra aug aug asus school music dance theatre annual large ensemble placement auditions wind bands orchestras open student interested participating regardless major interested participating go click audition information second paragraph link direct audition dates times instrument audition excerpts need prepare interested questions please contact dr jason caslor jcasloredu wind bands orchestras julie desbordes juliedesbordesedu philharmonia,Art & Music
ASU Choirs Auditions,descriptionwant sing choir aug aug asus school music dance theatre choirs placement auditions seven choirs open student interested participating regardless major interested participating go click audition information second paragraph link direct audition times vocal preparation choirs interested questions please contact dr jace saplan jacesaplanedu choirs,Art & Music
Back to School Social!,descriptionpremeds welcome new members welcome back existing members effort get know join us back school social saturday night august th pm get together trivia prizes winners,Art & Music
First SCI Meeting!,descriptionour first meeting making introductions discussing potential workshops events coming year,Art & Music
ASU Jazz Ensembles and Jazz Combos Auditions,description love sound jazz august asus school music dance theatre annual jazz placement auditions jazz ensembles combos open student interested participating regardless major interested participating go musicdancetheatreasueduensembles locate jazz section click group interested joining audition information music prepare interested questions please reach prof michael kocour michaelkocouredu also follow ensembles,Art & Music
Pitchforks at ASU Auditions 2023,descriptionthe pitchforks asu alltreble cappella group looking new members auditions held august st nd,Art & Music
TBA Comedy Auditions,descriptionhave feeling funny lately feel like need change pace want try something new come tryout tba comedy free fun really really cool bribed members acting normal tempes latest sketchimprovdigital comedy group comprised almost members like hangout like three days week joke around every week hold live shows memorial union including shows outside asu club promotes professional setting comedy condone racism sexism really kind ism interested creating professional networks improvisational comedy please email us learn offer,Art & Music
Devil Clefs A Cappella Auditions 2023-2024,descriptionaudition membership cappella club monday tuesday august stnd pm need attend one day upon arrival check sign time slot lobby music building asus tempe campus prepare please prepare one minute song choosing genre style include verse chorus ready approximately seconds additional song case need hear make decision,Art & Music
Main Event Percentage Night,descriptionas part chi omegas spring philanthropy week inviting participating fraternities main event tempe february rd pm bowl eat play games great night sales go towards makeawish arizona,Fundraising
Philanthropy Week Pie a Phi,descriptionraising money als,Fundraising
Philanthropy Week Freeze A Phi,descriptionphilanthropy week freeze phi event als ice bucket challenge,Fundraising
NASCAR Fundraiser,descriptiongain sporting event experience earn cfe hours help raise money tsa march th th see shift times rsvp form need tsa member sign carpooling available need ride carpooling form important details may accessed via rsvp form,Fundraising
Poly Vida Shoe Drive Donation Drop-Off Event,descriptionpoly vida working fundsorgs create economic opportunities promote microentrepreneur success countries like haiti poly vida conducting shoe drive fundraiser january st march st raise funds supplies use operating spay neuter clinics costa rica funds shoe drive used purchase headlamps stethoscopes watches clinical supplies volunteer abroad trip vida volunteer may poly vida earn funds based total weight pairs gently worn used new shoes collected fundsorgs issue check collected shoes goal collect bags containing pairs shoes funds raised donation drive benefit numerous communities including preveterinary students asu wish clinical experiences communities veterinary clinics offered communities shoes shipped,Fundraising
Out of The Darkness Campus Walk,descriptionmental health suicide prevention important ever people campus seeking opportunities get involved important work active minds asu devils devils organizing opportunity students asu community members join us darkness campus walk partnership american foundation suicide prevention take lead register team student group register individually free registration link afsporgasu march th location tempe campus sdfc west field time registration begins opening ceremony,Fundraising
Run Without Borders,descriptionrun without borders fundraising event held engineers without borders event sees students industry partners building affinity connections asu campus done previous years,Fundraising
Pie a Lambda,descriptionpie lambda fundraiser raise funds scholarship silver rose week active members getting pied raise funds,Fundraising
Percentage Night at Chop Shop @ 5pm-8pm,descriptionwe chop shop percentage night local chop shop pmpm,Fundraising
Tau Psi Omega Loteria Night,descriptiontau psi omega fraternity inc hosting bingostyle fundraising event mu gold room open asu students alumni participants purchase bingo card order partake win receive gift card profits go tau psi omega,Fundraising
Delta Zeta Duke Out,descriptionfundraising philanthropy,Fundraising
HERstory 2022 | Menstrual Supply Drive,descriptionin light herstory month bringing visibility menstrual health issues online student government advocacy group partnered beyouasu delta sigma created tangible way help women menstruate america partnering period host virtual menstrual supply drive donation items low help us combat period poverty america chance win prizes click link learn created completely virtual menstrual supply drive lasting whole month march click link provided donate supplies straight period distribute service partners prizes awarded top three donors three randomly selected donors purchasing gift type asu comments track donations eligible prize period poverty given day people planet menstruating least lack adequate resources basic supplies facilities information support managing periods people menstruate ostracized basic activities like eating certain foods socializing world cultural shame attached menstruation shortage resources stop people menstruate going school working every day period poverty lack access sanitary products menstrual hygiene education toilets hand washing facilities waste management period poverty problem america america two thirds low income people menstruate struggle afford period products girls us miss school lack access menstrual products creates significant education barrier girls menstruate people menstruate poverty especially risk due fact period products considered luxury items states taxed heavily known pink tax categorizes period products luxury instead necessity mens grooming products erectile dysfunction medicine exempt tax many food stamp programs even medicaid cover menstrual products people menstruate expect spend upwards course lifetime menstrual products menstrual equity menstrual equity term coined jennifer weisswolf offer winning approach engaging policymakers book periods gone publicshe uses term periods apply menstruating individuals regardless gender gender presentation pandemic transgender nonbinary people felt unsafe buying menstrual products local pharmacy asking family members items transgender men masculine centre people may fear outed leaks seen carrying tampons pads sounds made hygiene products unwrapped challenge discarding used products study transgender men reported managing menstruation easy easy home difficult difficult school work public places response items managing menstruation busy public restrooms use mens restrooms n felt unsafe unsafe felt uncomfortable uncomfortable young adults ages say period affected life negatively,Fundraising
Pie-a-Brother,descriptionfundraising event theta tau raise funds general operations including limited professional development workshops brotherhood bonding events recruitment members public pay dollar pie brother face,Fundraising
Pie-A-CA,descriptionfor donation deliver whipped cream pie cas face,Fundraising
AIGA at First Friday,descriptioncome support aiga first friday april st selling prints donated students help fundraise organization money prints allow us keep putting fun informative events members future hope see help support aiga,Fundraising
Mac n Phi Night,descriptionmac cheese served fraternities sororities participating philo glv,Fundraising
Alpha Phifa,descriptionsoccer tournament sdfc fields organizations participating philo water heart healthy snacks provided already reserved fields sdfc,Fundraising
Canes and Banners,descriptionwe serving canes glv lawn x wedding tent music dj tent banner decorating contest proceeds event benefitting childhelp,Fundraising
Just Dance the Stress Away,descriptioncome join us fun dance destressing tournament tournament pm pm entrance fee two dollars finalists receive prizes money raised event go united way nonprofit organization fights health financial stability education people around world want show skills benefiting good event also free dancing,Fundraising
Sigma Nu Mini Golf,descriptionazminigolf go building holes mini golf us glv lawn groups people competing hole time keeping score handing prizes hours long food sale well music playing food burgers hot dogs,Fundraising
Sigma Nu Relays Final Event,descriptionsigma nu relays final event philanthropy week take place glv lawn pm x tent truss lights plenty food sale competitions taking place sororities putting teams final competition challenges survivor style entertaining watch,Fundraising
Delta Tau Delta x Waffle Luv Philanthropy Event,descriptionwe partnering waffle truck raise money support jdrf,Fundraising
Geoclub September Mineral Sale,descriptiongeoclubs monthly mineral sale located psf south lawn come rocks minerals fossils,Fundraising
SEDS Rocketry Division General Meetings,descriptionseds rocketry division meet biweekly general meetings cover past information well new topics regarding events projects,Fundraising
SEAASA Thrift Event,descriptiona donated clothing thrift event donated clothing asu students selling fundraiser organization southeast asian american student association,Fundraising
Sigma Nu Bachelor Auction,descriptionduring event brothers sigma nu performing dances talents order raise money childhelp event playing music lights stage audience watching performances,Fundraising
Sigma Nu Haunted House,descriptionduring event brothers sigma nu turning greek leadership village house story haunted house raise money childhelp scary decorations throughout house,Fundraising
Philo Brotherhood Auction,descriptionbrother auction skills services charity,Fundraising
Acai Bowl Fundraiser for RAINN,descriptionthe brothers alpha sigma phi serving acai bowls glv front lawn raising money rainn organization,Fundraising
Alpha Sigma Phi Pumpkin Carving fundraiser for RAINN,descriptionthe brothers alpha sigma phi holding pumpkin carving event raising money rainn organization,Fundraising
Dancing with the SNUs,descriptionduring event hosting main event event dance competition sororities brothers sigma nu final event support childhelp playing music lights stages audience cheering event,Fundraising
Donut Night,descriptiondonut night glv people opportunity participate philo week purchase donuts merch etc,Fundraising
Alpha Sigma Phi Pet a Puppy Fundraiser for RAINN,descriptionthe brothers alpha sigma phi hosting pet puppy glv front lawn raising money rainn organization,Fundraising
Alpha Sigma Phi Powder Puff Football,descriptionthe final event alpha sigma phi rainn philo flag football competition,Fundraising
Pie for Pi Line,descriptionraising money prospective new members current members volunteer pied,Fundraising
Rusty Taco Percentage Night,descriptionchi omegas participating fraternities enjoy night tacos benefit makeawish,Fundraising
Toy and Hygiene Drive,descriptionwe asking toy hygiene donations mu,Fundraising
AOII Strikeout Arthritis,descriptiondodgeball tournament,Fundraising
SAEtoberfest,descriptionphilanthropic event raise money alzheimer association oct oct th bbq glv lawn games music activities,Fundraising
BOOing on Campus,descriptionglobal dental brigades selling service mu pay send prepackaged candy friend celebrate halloween receive candy notified via text email instructions pick candy selling service october thth outside mustudent pavilion candy picked location october st november st money earned used fund upcoming volunteer trip panama spend week providing humanitarian aid rural communities,Fundraising
Bake a Change with the Cookie Bar Queen,descriptionwe tabling outside mu student pavilion selling baked goods cookie bar queen please join us support girls education,Fundraising
Phi Delta Theta Philo Karaoke Night,descriptionmembers phi delta theta others fsl gather night fun karaoke raising awareness als,Fundraising
DSP Philanthropy - Volleyball Tournament,descriptionthis event main philo semester volleyball tournament open asu students proceeds going towards sun devils sexual assault also pizza raffles raise funds,Fundraising
AIGA at First Friday,descriptioncome support aiga first friday november th selling prints donated students help fundraise organization money prints allow us keep putting fun informative events members future hope see help support aiga,Fundraising
NASCAR Fundraiser,descriptiongain sporting event experience earn cfe hours help raise money tsa march th th need tsa member sign,Fundraising
Geoclub November Mineral Sales,descriptionjoin us monthly mineral sale fundraiser new restocked rocks minerals fossils great prices,Fundraising
Philo Week,descriptionadpi philanthropy week fundraise money ronald mcdonald house charities,Fundraising
Dance for a Cure,descriptioncome join us night dancing food fun order raise awareness funds brain tumor research tickets students nonstudents proceeds going towards students supporting brain tumor research beneficiaries amsa proud bring event collaboration fellow medical ethics club asu well nonprofits brothers sisters serving others students supporting brain tumor research hope see get tickets,Fundraising
A-Pie-G,descriptionthe sisters alpha phi gamma national sorority inc arizona state university xi chapter hosting fundraiser national philanthropy fight violence towards women people able come pay pie sister whip cream materials brought sisters well materials able clean space event hosted three consecutive days november,Fundraising
Mr Nu.,descriptionmale pageant raise money philanthropy,Fundraising
She's The First - November 22 Meeting,descriptionjoin first asu biweekly meeting november look forward dynamic informative presentation professional development seminar creating strong linkedin profile highlight professional mission set apart crowd provided cannot make inperson visit zoom link participate virtually,Fundraising
Pie-A-Neo,descriptiongreek organizations student public opportunity pie member neophyte class order raise funds donate hivaids awareness pie constructed shaving cream,Fundraising
Letters for a Cause,descriptionthis event combine fundraising service community building engagement encouraging students write letters santa later delivered surrounding macys department stores stores well known annual contribution makeawish america accumulated counting number letters santa collect winter asu students gather event celebrate seasonal fun also impacting surrounding communities students write letters collected end event also enjoying seasonal treats holiday film best part take place giving tuesday national holiday following thanksgiving black friday year event allow students understand great impact surrounding communities serving sun devil pride,Fundraising
Cirque de so Chic Charity Fashion Show,descriptionthe chic daily putting collaborative charity fashion show nov style line magazine fashion collective asu proceeds go dress success arizona sustainability alliance every semester fashion show studentrun work volunteer based including designers stylists makeup artists hair stylists models,Fundraising
Phi Delta Theta Philanthropy Training,descriptiontraining philanthropy events,Fundraising
Geoclub January Mineral Sales,descriptiongeoclubs first mineral sale spring semester stop new fossils minerals crystals,Fundraising
MTSO Chipotle Fundraiser!,descriptiongrab yummy chipotle support mtso come chipotle mill th make sure show mtso flyer,Fundraising
Hot Chocolate and Conchas,descriptionalpha lambda chapter lambda theta nu sorority inc invites apart national hot chocolate day fundraiser come grab hot chocolate national hot chocolate day support philanthropy tijeras,Fundraising
Girl Scout Cookie Sales,descriptiongirl scout cookie sales raise money supporting troops kappa delta,Fundraising
Girl Scout Cookie Sales,descriptiongirl scout cookie sales troops supported kappa delta,Fundraising
Valentine's Day Flower Sale,descriptionfundraising event theta tau raise funds general operations including limited professional development workshops brotherhood bonding events recruitment members public pay rose valentines day along option polaroid photo,Fundraising
Geoclub February Mineral Sale,descriptioncome check geoclubs february mineral sale new stuff fresh tucson gem mineral show rocks minerals fossils,Fundraising
Phi Sigma Rho Cookies Booth,descriptionselling girl scout cookies,Fundraising
AOII Philo Week: Sand Volleyball Tournament,descriptionaoii philanthropy week main event volleyball tournament juvenile arthritis,Fundraising
Sammy Slices,descriptionin glcc would like sell pizzas going made delivered room members sigma alpha mu glcc would like set chairs tables people eat room would like,Fundraising
Buffalo Wild Wings Percentage Night,descriptionfundraising kappa delta philantropy buffalo wild wings,Fundraising
Cake a KD and Shamrock Shake Sales,descriptionfundraising event kappa delta philanthropy,Fundraising
Percentage Night at Rusty Taco,descriptionfundraising event kappa delta philanthropy,Fundraising
Craft Sale,descriptioncome visit first march th check arrangement handmade crafts sale creations handdecorated club members profit sale goes directly funding girls education lowerincome countries need colorful pickmeup middle semester buy affordable unique tote bag mug make difference world,Fundraising
Panda Express Fundraiser,descriptionswe hosting percentage day panda express location college avenue come get lunch dinner hang friends,Fundraising
MA Game Night Fundraiser,descriptiongame night challenge raise money,Fundraising
Out of the Darkness Suicide Prevention Walk,descriptionjoin us darkness suicide prevention campus walk march tempe campus mental health suicide prevention important ever devils devils accessibility coalition reading student organizations partnering american foundation suicide prevention host annual darkness suicide prevention campus walk asu last year hundreds participants attended raised suicide prevention research local level az checkin event starts student services lawn student services building ne corner forest lemon across street gammage create team fundraise go afsporgasu,Fundraising
Kappa Delta Donut Sales,descriptiondonut sales fundraising event kappa delta philanthropy,Fundraising
Shamrock Week Main Event,descriptionmain event basketball tournament fundraising kappa delta philanthropy,Fundraising
Geoclub March Mineral Sale,descriptionjoin us geoclubs march mineral sale lot new items tucson mineral show,Fundraising
Sigma Tau Gamma Philanthropy Week Dance Compeition,descriptionvarious sororities participating philanthropy week create dances present winning sorority awarded points towards entire competition,Fundraising
Pie-A-CA,descriptionfor donation united way deliver whipped cream pie favorite hsl staff members,Fundraising
AOII Philo Week: Hot Dog Eating Contest/ BBQ,descriptionaoii philo week hot dog eating contest bbq,Fundraising
