event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
Field Trip to the Superior Court of Pinal County,2024-10-02 08:45:00,join us october excursion superior court pinal county spots open opportunity tour various department including courthouse detention center network different staff ask questions superior court directors judges lunch provided tour begin promptly superior court pinal county n jason lopez circle florence az transportation superior court pinal county provided meet suite university center ucent downtown campus suite first floor ucent directly across bank shuttle meeting spot n central ave suite phoenix az,watts college public service community solutions,food,career professional development general community service civic engagement,superior court pinal county n jason lopez circle florence,0
Financial Literacy and Money Management,2024-08-06 16:00:00,meet mlftcs financial coach discuss basics expenses need plan enrolled financial aid options might available learn federal loans bad thing,unknown,,welcome event,online,0
Find My Classes,2024-08-21 10:00:00,find classes join us wednesday august st pm student center post find classes event asu students guide around various academic buildings help locate classrooms get familiar campus layout ask questions feel confident first day classes great opportunity meet fellow sun devils ensure prepared semester ahead miss helpful tour,downtown,,welcome event inperson event,student center post n central ave phoenix,0
Find My Classes Tours (Poly),2024-08-19 13:00:00,join us find classes tour led polytechnic student leaders staff know way around campus fall semester bring water meet student union west patio bring copy schedule find buildings classes take place also learn must know spots sun devil fitness complex student union academic center library many buildings across campus tours held august pm august pm august august pm,unknown,,welcome event inperson event new student experience,student union west patio,0
First Day Frozen Treats,2024-08-22 11:00:00,event open barrett honors college students drop first day school frozen treat beat heat cool barrett suite,barrett polytechnic,food stuff,welcome event barrett student organization inperson event,barrett suite lantana hall twining st,0
First Day Photo and Cup of Joe,2024-08-22 09:00:00,celebrate first day fall semester first day photo cup joe stop student union take selfie sparky grab cup coffee,polytechnic,food,student engagement event welcome event inperson event new student experience,student union,0
First Day of Class Photos - West Valley,2024-08-22 10:00:00,say cheese forgot take first day class photo morning worry come take us grab fuel snacks go make first day asu memorable,student connection community west,food stuff,welcome event,fletcher walkway,0
First General Meeting,2024-08-26 13:30:00,join youthmappers asu first general meeting introductions explain youthmappers give vision fall semester remaining time well basic openstreetmap tutorial get everyone ready future mapping events since hybrid club invite online students join us meetings zoom,youthmappers,,,rob melani walton center planetary healthrob melani walton center planetary health e university dr tempe tatsunis,0
Food Around the World,2024-10-21 18:00:00,event strengthen knowledge diversity equity inclusion professional development,business school council,,,deans patio,0
Food box packing,2024-11-09 12:00:00,service event,unknown,,,st marys food bank west thomas road phoenix,1
Formal,2024-11-16 19:00:00,socializing sisters,kappa delta,,,palzo n th ave phoenix,1
Founders day,2024-10-20 17:30:00,founders day kappa delta,kappa delta,,,country club e orange blossom ln phoenix,1
Free Fridays with CaBSS,2024-08-23 14:00:00,join cabss friday every friday summer free refreshing food week supplying summers sweetest treats ice cream sandwiches popsicles doughnuts take break daily grind join us quick moment relaxing socializing events located biodesign patio,chemical biological sciences society,food,graduate,biodesign c e tyler st tempe,0
GNO Edson College New Graduate Student Orientation,2024-08-21 08:00:00,join us asu edson college nursing health innovation new graduate student orientation learn gno membership purchase gno merchandise enjoying light breakfast us,graduate nurses organization,food,clubs organization information welcome event graduate inperson event,asu health north lobby north rd street phoenix,0
GNO Fall Social Event,2024-09-24 17:00:00,join us fall semester social event eat delicious food grab drink network fellow classmates faculty alumni,graduate nurses organization,,club meetings clubs organization information welcome event graduate inperson event new student experience,pub thunderbird north st street phoenix,0
GWA - Fall Welcome event,2024-09-19 17:30:00,gwa hosting first fall event join us evening filled games food discussion next book club event,graduate womens association arizona state university,,,coconino roommu,0
Game Night,2024-08-14 17:00:00,roll dice board game king queen night issc library table top game night month nd wednesday every month hayden library international students well domestic students event great get know students well librarians library resources board game would like request one game nights please let us know advance request rsvp,host organizations international student scholars center library,food,graduate new student experience cultural connections multicultural communities excellence,hayden library pod market e orange st tempe,0
Game Night,2024-08-28 18:00:00,join us bac game night wednesday august th pm pm cooley ballroom asus polytechnic campus going fun filled evening variety games snacks great company whether love board games want relax meet new friends perfect event unwind enjoy laughs hosted black african coalition night bringing community together miss chance connect blast see,black african coalition,food,clubs organization information welcome event sync multicultural communities excellence cultural connections multicultural communities excellence,cooley ballroom backus mall mesa mesa,0
Game Night with CaBSS,2024-08-13 19:00:00,join cabss fellow scientists friends departments socialize game meet new friends competitive games cabss happy provide appetizers fuel competitive gaming come cabss first tuesday every month,chemical biological sciences society,food,graduate,snakes lattes w th st tempe,0
Ganesh Utsav,2024-09-06 18:00:00,namaste sun devils immerse vibrant spirit ganesh utsav experience unforgettable evening filled pulsating music mesmerizing dance performances soulful ganesh puja indulge delectable indian cuisine engage lively games feel rhythmic beats dhol tasha ensemble miss cultural extravaganza promises joy festivities part tradition joy unity see,hindu yuva youth unity virtues action arizona state university,food stuff,clubs organization information pab event culture asu international graduate inperson event,student pavilion senita ballroom e orange st tempe,0
Ganesh Vinayagar Chaturthi,2024-09-11 17:00:00,om gan ganpataye namah greetings south indian vedic association sri venkata krishna kshetra temple join us celebrating joyous occasion ganesh chaturthi time honor celebrate birth pillayar vinayaka devotion reverence festive spirit immerse event filled cultural vibrancy traditional rituals spiritual joy experience sacred rituals ganesha puja enjoy performances ganesha songs traditional dances engage delightful skits brings ganeshas stories life participate exciting games let us come together celebrate heritage foster deeper connection lord ganeshapillayarvinayakavinayagar presence make celebration even special look forward celebrating auspicious occasion event highlights ganesh puja priest blessing interactive story play ganesha games traditional dance singing events delicious south indian food giveaways,south indian vedic association,food stuff,culture asu international,student pavilion senita ballroom e orange st tempe,0
General Body Meeting,2024-08-26 17:00:00,everyone interested already club member welcome join discuss fight food insecurity asu campuses,sun devil swipes,,,online,0
General Body Meeting,2024-09-05 18:00:00,first general body meeting year current members executives sdm present club recruitment process prospective members,sun devil motorsports formula sae,,club meetings clubs organization information,psh physical science building h room,0
Girl Scout event,2024-09-29 10:00:00,helping girl scouts earn badges,kappa delta,,,glv lawnglv lawn,1
Girl Scout event,2024-10-27 13:00:00,helping girl scouts get badges,kappa delta,,,kd glvkd glv,1
Glo BINGO Hosted by the College of Integrative Sciences and Arts,2024-09-06 18:00:00,prepare unforgettable evening packed bright lights music bingo like never experienced game night community food vibrant glow party favors hosted college integrative sciences arts students majors welcome,host organizations college integrative sciences arts polytechnic,food stuff,welcome event inperson event,polytechnic cooley,0
Global Futures Opportunities Fair,2024-08-21 14:00:00,global futures opportunities fair shares ways students engage opportunities programs initiatives affiliated global futures laboratory college global futures event open students want learn opportunities connect research student employment community engagement student organizations courses academic programs resources focused shaping positive future tables set rd th th lobbies walton center planetary health let us know coming register,college global futures,stuff,clubs organization information welcome event sustainability change world inperson event,walton center planetary health tempe campus e university dr tempe,0
Gold Friday 8/23,2024-08-23 10:00:00,students wear gold fridays win prize,programming activities board downtown phoenix,stuff,pab event,outside taylor mall,0
Gold Friday 8/30,2024-08-30 10:00:00,students wear gold fridays get prize,programming activities board downtown phoenix,stuff,pab event inperson event,outside taylor mall,0
Gold Friday 9/6,2024-09-06 10:00:00,students wear gold friday get incentive,programming activities board downtown phoenix,food,pab event inperson event,outside taylor mall,0
Gold Patrol!,2024-08-23 11:00:00,friday wear gold stop gold patrol table get rewarded,polytechnic,food stuff,pab event sun devil athletics inperson event,backus mall,0
Gold Patrol!,2024-10-04 11:00:00,friday wear gold stop gold patrol table get rewarded hosted pab inferno insiders,polytechnic,food stuff,pab event sun devil athletics inperson event,backus mall,0
Golf Land,2024-08-29 19:00:00,members interact casual environment strengthen connections,business school council,,,golf land adress w hampton ave mesa,0
Golf Panel,2024-10-21 18:00:00,students gain valuable insights golf industrys current trends marketing strategies career opportunities experienced professionals additionally chance network industry leaders enhancing knowledge expanding professional connections,sports business association,,,mu cochise e orange st tempe,0
Grad Student Potluck,2024-08-30 19:00:00,join us casual evening campus meet grad students build community event give graduate students opportunity network colleagues focus helping students get advice peers find help struggling issues program personal life potlucks monthly gathering graduate students share struggles worries peers order find support validation motivation keep making progress program potluck style also gives opportunity share culinary culture peers food provided encourage everyone bring food andor drinks share either homemade culture store bought work rsvp linksasuedugradpotluck,mutual aid,food,welcome event graduate,coven community center terrace road tempe,0
Grills and Games,2024-10-11 13:00:00,grilling pcaa philo week,kappa delta,,,glv lawnglv lawn,0
HCCB Viva La Vida Wellness Bash,2024-09-04 17:00:00,welcome hccbs viva la vida wellness bash test health knowledge fun trivia show moves dance unleash creative side painting coasters making keychains best part free food reward participating activities enjoy refreshing smoothies delicious yogurt bowls miss hccbs first advocacy event year come great fun delicious food taking step towards better health,honors college council barrett,food stuff,barrett student organization,honors hall room east lemon mall tempe,0
HCCB Welcome Back Block Party,2024-08-22 18:00:00,kick new school year hccbs welcome back block party get lost exciting corn maze show skills skee ball conquer mini golf course got yard games galore many fun activities lined feeling hungry got covered delicious popcorn churros plus refreshing drinks cool treats keep energized hydrated miss ultimate welcome back bash come games stay fun make unforgettable memories new friends,honors college council barrett,food stuff,welcome event barrett student organization,great court barrett complex east lemon mall tempe,0
HOSA St. Mary's Volunteer Event,2024-09-28 12:00:00,join us hosas st marys volunteer event fulfilling day giving back st marys food bank volunteer event fantastic opportunity support mission providing nutritious food need across community special event brings together students faculty community members passionate making difference,hosa arizona state university west valley,,community service inperson event,st marys food bank north st avenue phoenix,1
HOSA Suture Clinic Event,2024-10-23 16:30:00,join us hosas suture clinic event hands educational workshop designed students interested healthcare medical professions clinic offers unique opportunity gain practical experience basic suturing techniques essential aspiring non aspiring medical professional,hosa arizona state university west valley,,career professional development inperson event,la sala ballroom university center building w thunderbird rd glendale,0
HOSA's Guest Speaker: Dr. Joshua LaBaer,2024-10-02 16:00:00,join us welcoming dr joshua labaer pioneer breast cancer research executive director professor asus biodesign institute biodesign clinical testing laboratory event offers unique opportunity learn breast cancer research gain understanding clinical research looks like make connections inspiring asu researcher,hosa arizona state university west valley,food,career professional development inperson event,university center building n th ave phoenix,0
HOSA's Guest Speaker: Muhammad Jaasar,2024-09-18 16:00:00,join us engaging informative session featuring muhammad jaasar dedicated medical student currently studying university arizona medical school phoenix event offers unique opportunity gain firsthand insight journey medical student world medicine fresh perspective addition event give opportunity students understand medical school application process makes medical student applicant stand,hosa arizona state university west valley,food,career professional development inperson event,university center building n th ave phoenix,0
HOSA's Movie Night,2024-09-11 18:30:00,join us hosas movie night september pm pm watching inside sdfc lawn grab friends relax lawn enjoy heartwarming sequel one pixars beloved classics cozy blankets free popcorn perfect way unwind kick back busy day,hosa arizona state university west valley,food,general inperson event,sdfc front lawn n th ave glendale,0
Hayden Library Student Tour,2024-08-19 10:00:00,new asu help asu library resources asu students invited join us walking tour hayden library located heart asus tempe campus experience hayden librarys revamped five story tower featuring interdisciplinary learning labs community driven book collections two reading rooms research services designed asu students tour share library resources tips make semester tour begin hayden library level west entrance,library,,welcome event inperson event,hayden library level west lobby entrance e orange mall tempe,0
Hazing Prevention Week: Interactive Speaker,2024-09-25 18:00:00,pha council bring experienced speaker versed fsl hazing presenting information educate community also offering interactive experience open community larger conversation,panhellenic council,,club meetings,greek leadership community center rural rd tempe,0
"Help teach students what self-advocacy looks like, problem solving",2024-08-13 14:00:00,virtual workshop help students develop self advocacy problem solving skills skills support students adapting new academic environment confidently,host organizations teachers college office academic career success oacis tempe west valley,,welcome event,online,0
Herberger Institute - Los Angeles Fall Welcome 2024,2024-08-21 13:30:00,herberger institute college new student orientation welcome new undergraduates california asu fidm sidney poitier new american film school,host organizations herberger institute student engagement creative career services sidney poitier new american film school california center,,new student experience california center events,california center broadway broadway los angeles ca,0
Herberger Institute College Assembly - All Institute Welcome 2024,2024-08-20 16:45:00,herberger institute college assembly welcome new undergraduates arizona new herberger institute schools,host organizations herberger institute student engagement creative career services design school school music dance theatre school art sidney poitier new american film school school arts media engineering,,general welcome event memorial union student pavilion programs inperson event new student experience,student pavilion e orange street tempe,0
Herberger Institute First-Year Commuter and Transfer Student Lunch,2024-08-20 13:30:00,inviting first year campus commuter students transfer students join us late lunch herberger institute college assembly institute welcome opportunity build community amongst different herberger institute faculty staff look forward meeting,herberger institute student engagement creative career services,food,welcome event new student experience,memorial union cochise e orange st tempe,0
Hispanic Heritage Month - Celebrating La Cultura,2024-09-11 12:00:00,join multicultural communities excellence celebrate hispanic culture food music,host organizationm multicultural communities excellence west,food,multicultural communities excellence,delph courtyard w thunderbird rd,0
Holiday Social,2024-11-21 17:00:00,women animation hosting holiday event combine thanksgiving christmas big social gathering provide good food music amazing company,women animation,,,martin wong studio forest mall tempe martin wong studio,0
Hong Kong Student Association Ice-skating event,2024-10-11 12:15:00,want provide chance sa members experience ice skating semester mullett arena,hong kong student association,,club meetings,mullett arena,0
Hope's Women Center Packing Party event,2024-09-21 12:00:00,pha council hosting goods drive september community service partner hopes womens center september nd hosting packing party assemble bags goods drop center,panhellenic council,,,greek leadership community center rural rd tempe,1
Hot Chocolate Study Tables,2024-12-05 18:00:00,study tables homework school work event elaborate principle scholarship homework well inviting students join us homework,unknown,,,hayden c,0
House Tours,2024-10-05 10:30:00,parents looking kappa delta house,kappa delta,,,kd glvkd glv,1
How Crowded is Your Bed,2024-10-23 19:20:00,opportunity learn safe sexual reproductive health behaviors attitudes,zeta phi beta sorority inc,,,hayden c,0
How Data Science Tools Can Enhance Your Literary Analysis,2024-10-30 10:00:00,embark exciting journey explore fascinating crossroads literary analysis data science recent advances ai large language models advanced computational techniques revolutionizing literature studies across board join us open lab learn take first steps using data science analytics tools enhance literary analysis immersive session guide computational distant reading techniques sentiment analysis topic modeling help unveil intricate layers meaning within literary works best use r open source free software used beginners experts alike know code yet problem prior experience data science coding necessary participate love answering questions open lab open interested learning taught entry intermediate level abi mercado rivera showcase practical exercises using classic literature show present results using simple visualizations listen code along join us discover potential data science unlocking secrets held within pages favorite books register,library,,,online,0
How We Got the Bible,2024-10-23 12:00:00,join us free pizza several raffle prizes deep discussion led dr john meade prof ot history best selling book time bible interesting history copied manuscripts books chosen misunderstandings people got bible dr meade introduce topic time dedicated open discussion friendly environment share doubts questions challenges alternative viewpoints,ratio christi tempe,food stuff,club meetings clubs organization information general inperson event,mu e orange street tempe,0
Hudson Park Beautification,2024-08-03 09:00:00,hudson park clean barbecue fellowship fun time games volunteers neighbors park,unknown,,,hudson park cedar st tempe,1
I Can Help Booth,2024-08-19 07:00:00,questions find classes get involved looking specific building stop help booth speak current students get questions answered participate different events involving community connection sun devil tuesday wellness arts culture fork friday,new student programs,,,hassyampabarrett breezeway mcallister ave tempe memorial union breezewaymemorial union breezeway palm walktyler mallpalm walktyler mall paloverde eastpaloverde east,0
I Don't Have Enough Faith to be an Atheist (w/ Frank Turek),2024-09-09 19:00:00,come join us powerful one night event award winning author speaker dr frank turek turek presents enough faith atheist thought provoking presentation dr turek discuss christian faith reasonable actually takes blind faith believe god exist agree disagree dr turek would love hear view dr turek always leaves extended period open mic time address questions arguments audience event proudly sponsored ratio christi asu tempe,ratio christi tempe,,club meetings clubs organization information general welcome event inperson event new student experience,student pavilion senita ballroom e orange st tempe tempe,0
IFC Walkaround,2024-08-25 12:00:00,tabling event ifc chapters attendance open asu men interested joining greek life asu students able learn ifc organizations receive information join,interfraternity council ifc,,,mullet arena,1
IWFM event,2024-09-12 17:00:00,celebrating international womens friendship month making friendship bracelets,kappa delta,,,kd glvkd glv,0
Infernofest,2024-08-20 21:00:00,infernofest presented programming activities board pab support rha residence hall association join us asus signature fall concert infernofest tuesday august gates open pm directly following sun devil welcome live mountain america stadium free asu students visit tickets ticket information experience concert virtually requires log students livestream tickets clear bag policy effect bags backpacks water bottles umbrellas permitted follow information,host organizations programming activities board university wide programming activities board tempe programming activities board downtown phoenix pabwest valley,,pab event welcome event university signature event inperson event new student experience,mountain america stadium,0
Informatinal,2024-09-03 18:30:00,students interested joining organization learn requirements stand organization,lambda theta nu sorority inc,,,farmer education building,0
Informational,2024-08-28 12:00:00,right open house students interested joining organization learn requirements stand organization,lambda theta nu sorority inc,,,memorial union gila,0
Informational,2024-08-28 20:00:00,wahati chapter lambda sigma upsilon latino fraternity inc hosting informational give depth look lambda sigma upsilon latino fraternity inc historical background information oversight requirements needed asu students interested potentially becoming brother lambda sigma upsilon latino fraternity inc,lambda sigma upsilon latino fraternity inc,,clubs organization information general culture asu inperson event cultural connections multicultural communities excellence,greek leadership community center rural rd tempe,0
Informational,2024-09-10 18:30:00,students interested joining organization learn requirements stand organization,lambda theta nu sorority inc,,,glcc,0
International Night,2024-08-22 18:15:00,attention international students join us international night featuring diverse food hosted latinos india africa bring festive gear dancing shoes night celebration fun,saints catholic newman center,food,,saints catholic newman center e university dr tempe,0
International girls day celebration,2024-11-14 16:00:00,celebrating making bracelets kd glv,kappa delta,,,kd glvkd glv,0
Ironman Arizona,2024-11-17 12:00:00,support local tempe charity engage students hands service work,business school council,,,tempe beach park adress w rio salado pkwy tempe,1
Is Data Science Obsolete in the Age of AI?,2024-10-23 10:00:00,open lab digital humanities analyst namig abbasov seek answer questions machine age stuff like many us remember quote push button kitty episode favorite childhood cartoon tom jerry toms human asks cat leave job hence house gets new mouse catcher robotic one episode released years humans various job roles including data science brink replaced artificial intelligence ai advent transformer architecture subsequent rapid developments generative ai rising developments ai replace data scientists generative ai transforming data science landscape data science job market look rapid developments deep learning generative ai large language models llms register,library,,,online,0
Jason Weber ASU PD GLV Safety Presentation and Open Forum,2024-09-10 17:00:00,jason weber asu pd coming present safety tips community regarding campus chapter living facilities well q portion help bring resolutions concerns community members,panhellenic council,,,greek leadership community center rural rd tempe tempe,0
Join Us! 1st Fall Semester Meeting!,2024-09-04 16:30:00,join us small networking event club members well games prizes learn shrm society human resource management asu,shrm,,,online,0
KD Chapter meetings,2024-09-09 19:00:00,chapter meetings kappa delta,kappa delta,,,tempe classroomtempe classroom,0
Krishna Jayanthi,2024-08-30 16:30:00,jai shri krishna greetings south indian vedic association sri venkata krishna kshetra temple join us celebrating joyous occasion janmashtami time honor birth lord krishna devotion enthusiasm festive spirit immerse event filled cultural vibrancy traditional rituals spiritual joy experience sacred rituals krishna puja bhajan enjoy performances krishna songs dances engage delightful skit brings krishnas stories life participate exciting games like treasure hunt find butter across campus real life ludo games let us come together celebrate heritage foster deeper connection divine krishna presence make celebration even special look forward celebrating auspicious occasion event highlights krishna puja bhajan priest blessing treasure hunt real life ludo games interactive storytelling skit traditional dance singing events delicious south indian food exicitng prizes giveaways bhagavad gita chapter verse namah purastad atha prishthatas te namo stu te sarvata eva sarva ananta viryamita vikramas tvam sarvam samapnoshi tato si sarvah arjuna krishna,south indian vedic association,food stuff,culture asu international,student pavilion senita ballroom e orange st tempe,0
Let's Talk Dance,2024-09-27 18:30:00,evening provides opportunity engage individuals diverse backgrounds discuss current trends within dance community well explore advantages disadvantages impact mental well evolution community conversation offer insights navigating world dancer open students interested future performances either part team individuals,lasya,food,,ventana memorial uniontempe campus,0
Library Game Night,2024-08-23 18:00:00,welcome join us annual game night polytechnic campus library enjoy slice pizza join fun board games bring may possibly earn prize two night,polytechnic,food stuff,pab event welcome event new student experience,polytechnic library,0
MLFTC Faculty Welcome for Transfer Students,2024-08-14 16:00:00,especially new transfer students meet new professors learn classes going take get answers questions expect like education major asu,host organizations teachers college office academic career success oacis tempe west valley,,welcome event,online,0
MU Tabling,2024-08-29 10:00:00,tabling event memorial union guys interested greek life,sigma alpha mu,,,memorial union,0
Magic Mushrooms,2024-09-19 18:30:00,come join us learn psilocybin mushrooms also known magic mushrooms event collaboration shroom society psychedelics club,shroom society,stuff,club meetings clubs organization information general welcome event sustainability inperson event new student experience,mu cochise,0
Major Mingle - Exploratory,2024-08-21 16:00:00,major mingle boost campus connections exploratory programs feeling bit anxious meeting new people start journey asu worry got covered join us fun engaging event designed exclusively students currently exploratory program perfect opportunity connect peers share academic interests may even classes meet peers build friendships fellow students major form study groups find classmates become study partners support system get head start establish community classes begin miss chance kick first semester strong support network look forward seeing helping make asu experience questions information please contact ncstudentservicesedu,host organizations new college interdisciplinary arts sciences west valley,stuff,welcome event inperson event,sands classroom building sands n th ave phoenix,0
Major Mingle - Forensics,2024-08-21 15:00:00,major mingle boost campus connections forensic majors feeling bit anxious meeting new people start journey asu worry got covered join us fun engaging event designed exclusively students majoring forensic science bs forensic science death investigations bs computational forensic bs perfect opportunity connect peers share academic interests may even classes meet peers build friendships fellow students major form study groups find classmates become study partners support system get head start establish community classes begin miss chance kick first semester strong support network look forward seeing helping make asu experience questions information please contact ncstudentservicesedu,host organizations new college interdisciplinary arts sciences west valley,stuff,welcome event inperson event,sands classroom building sands n th ave phoenix,0
Major Mingle - Humanities,2024-08-21 14:00:00,major mingle boost campus connections humanities majors feeling bit anxious meeting new people start journey asu worry got covered join us fun engaging event designed exclusively students majoring humanities arts cultural studies degrees perfect opportunity connect peers share academic interests may even classes meet peers build friendships fellow students major form study groups find classmates become study partners support system get head start establish community classes begin miss chance kick first semester strong support network look forward seeing helping make asu experience questions information please contact ncstudentservicesedu,host organizations new college interdisciplinary arts sciences west valley,stuff,welcome event inperson event,sands classroom building sands n th ave phoenix,0
Major Mingle - Mathematics/Technology,2024-08-21 14:00:00,major mingle boost campus connections mathematics technology majors feeling bit anxious meeting new people start journey asu worry got covered join us fun engaging event designed exclusively students majoring mathematica computing technology degrees perfect opportunity connect peers share academic interests may even classes meet peers build friendships fellow students major form study groups find classmates become study partners support system get head start establish community classes begin miss chance kick first semester strong support network look forward seeing helping make asu experience questions information please contact ncstudentservicesedu,host organizations new college interdisciplinary arts sciences west valley,stuff,welcome event inperson event,sands classroom building sands n th ave phoenix,0
Major Mingle - Natural Sciences,2024-08-21 16:00:00,major mingle boost campus connections natural science majors feeling bit anxious meeting new people start journey asu worry got covered join us fun engaging event designed exclusively students majoring biology babs biology environmental justice babs biology pharmacology toxicology bs environmental science babs environmental science environmental justice babs pharmacology toxicology bs perfect opportunity connect peers share academic interests may even classes meet peers build friendships fellow students major form study groups find classmates become study partners support system get head start establish community classes begin miss chance kick first semester strong support network look forward seeing helping make asu experience questions information please contact ncstudentservicesedu,host organizations new college interdisciplinary arts sciences west valley,stuff,welcome event inperson event,sands classroom building sands n th ave phoenix,0
Major Mingle - Psychology,2024-08-21 13:00:00,major mingle boost campus connections psychology majors feeling bit anxious meeting new people start journey asu worry got covered join us fun engaging event designed exclusively students majoring psychology babs psychology forensic psychology babs psychology positive psychology babs perfect opportunity connect peers share academic interests may even classes meet peers build friendships fellow students major form study groups find classmates become study partners support system get head start establish community classes begin miss chance kick first semester strong support network look forward seeing helping make asu experience questions information please contact ncstudentservicesedu,host organizations new college interdisciplinary arts sciences west valley,,welcome event inperson event,sands classroom building sands n th ave phoenix,0
Major Mingle - Social and Behavioral Sciences,2024-08-21 14:00:00,major mingle boost campus connections social behavioral sciences majors feeling bit anxious meeting new people start journey asu worry got covered join us fun engaging event designed exclusively students majoring aging bs communication babs conflict resolution ba political science babs social behavioral sciences babs social justice human rights ba sociology babs perfect opportunity connect peers share academic interests may even classes meet peers build friendships fellow students major form study groups find classmates become study partners support system get head start establish community classes begin miss chance kick first semester strong support network look forward seeing helping make asu experience questions information please contact ncstudentservicesedu,host organizations new college interdisciplinary arts sciences west valley,stuff,welcome event inperson event,sands classroom building sands n th ave phoenix,0
Major Monday,2024-08-26 10:00:00,major right fit learn new college majors connect academic advisor explore adding minor certificate discover career pathways learn internships enjoy music food trucks free giveaways,host organizations new college interdisciplinary arts sciences west valley career services,food stuff,welcome event,fletcher lawn w thunderbird rd glendale glendale,0
Make Your Own Tote Bag! - Pre Pitchfork Pantry Pop-Up,2024-09-18 10:00:00,prep fort pantry new college make tote bag use carry free groceries pitchfork pantry,host organizations new college interdisciplinary arts sciences west valley pitchfork pantry west valley,stuff,,center mall asu west valley w thunderbird rd glendale,0
Maroon Monday 8/26,2024-08-26 10:00:00,tabling event incentives given students wearing maroon,host organizations programming activities board downtown phoenix programming activities board university wide,stuff,pab event inperson event,taylor mall walkway,0
Mass of the Holy Spirit,2024-08-25 18:00:00,invoke holy spirit asu newman community beginning academic year professors warmly invited wear academic regalia join us afterward light reception,saints catholic newman center,food,,saints catholic newman center e university dr tempe,1
Medical Skills Building Workshop,2024-10-23 17:30:00,join mim clinical skills building workshop stations briefly teach students essential healthcare skills reading ekg suturing bandage wrapping finding different pulses obtaining blood pressure completing neuro motor exam supplies provided simply show,minorities medicine,food stuff,career professional development club meetings memorial union student pavilion programs,memorial union graham room e orange st tempe,0
Meet The Edson Student Engagement Team!,2024-08-27 10:00:00,come meet edson college student engagement team learn exciting things planned semester grab snack ask questions get edson swag hope see,host organizations edson college nursing health innovation student engagement downtown,food stuff,welcome event inperson event new student experience,health north lobby n rd st phoenix,0
Meet the Zetas: Cupcake Decorating,2024-09-05 17:00:00,students opportunity meet new members organization,zeta phi beta sorority inc,,,mcoe,0
MidTerms Week Therapy Dogs With Panhellenic,2024-10-08 15:00:00,join us destress midterms therapy dogs,panhellenic council,,,greek leadership community center rural rd tempe,0
Mirabella at ASU Humanities and Arts Wellness Workshop - Medical Humanities Society at ASU,2024-09-07 11:00:00,join us inaugural humanities arts narrative medicine workshop mirabella asu explore intersection healthcare humanities foster empathy compassion holistic patient care unique workshop mirabella asu feature interactive storytelling sessions artistic expression activities small group discussions insights experts narrative medicine arts designed healthcare professionals students community members workshop aims bridge gap medical science human experience providing valuable tools improve patient provider relationships look forward seeing enriching inspiring event,medical humanities society,stuff,club meetings,mirabella asu e university dr tempe usa,1
Monday Munches: Grab a Donut and Chat!,2024-08-26 10:30:00,join us throughout semester mercado c second floor free donuts snacks answer questions may help great semester donuts reserved students part edson college nursing health innovation,host organizations edson college nursing health innovation student engagement downtown,food stuff,inperson event,mercado c nd floor lobby e monroe bldg c phoenix,0
Movie Night at Mercado,2024-08-19 18:30:00,join us unforgettable evening movie night mercado get ready kick school year blast watch legally blonde zootopia together enjoy free food including delicious sandwiches popcorn treats take advantage perfect opportunity meet mingle fellow sun devils whether freshman senior everyone welcome join fun make lasting connections night promises laid back fun filled atmosphere good company great movies tasty food miss amazing event mark calendars grab friends head mercado movie night forget see,honors college council barrett,food stuff,welcome event,mercado downtown e monroe st phoenix,0
Movie and Trivia Night! Featuring: How To Train Ypour Dragon,2024-08-25 18:00:00,grab new friends grab snacks come watch train dragon movie chance play movie trivia game features questions plot production actors via kahoot platform interactive experience,polytechnic,food,student engagement event welcome event new student experience,student union cooley ballrooms,1
Multicultural Communities of Excellence Open House,2024-08-22 11:00:00,visit mcoe fall open house meet ambassadors check programming ask reserve space enjoy cookies lemonade,multicultural communities excellence poly,food,multicultural communities excellence,multicultural communities excellence poly,0
Mundo Ball Monday,2024-09-16 19:00:00,battle mondays mundo ball tournament bracket prizes winners rules registration example play use link,league legends,stuff,general,online,0
MySA Fall Welcome Event,2024-08-30 17:00:00,event welcome fall intake catch active members summer break hosting chat session alongside playing social board games create engaging experience people catch summer break provide resources academic living new incoming students also halal food members enjoy catching,malaysian students association,,,mu coconino e orange st tempe united states,0
Native Health Workday,2024-09-14 12:00:00,helping native health garden tasks may include weeding planting harvesting watering please bring sun protection water closed toed shoes meet gordon commons would like light rail together,cultivate downtown gardening club,,club meetings general community service graduate,native health community garden west pierson st phoenix,1
Navigating College as Latinos,2024-09-18 18:30:00,event aims serve panel aimed freshmen sophomore latinos know much navigating college hear first hand students come successful helped succeed much best piece advice received anything else wish knew freshmensophomore early junior,lambda sigma upsilon latino fraternity inc,,culture asu inperson event cultural connections multicultural communities excellence hispanic heritage month,tbd,0
New College Affirmation Station,2024-10-03 13:00:00,say something sweet grab treat,host organizations new college interdisciplinary arts sciences west valley,stuff,inperson event,fletcher lawn w thunderbird rd glendale glendale,0
New College Transfer Student BBQ Bash,2024-08-27 16:00:00,join us celebrate welcome fall transfer students come make new friends discover resources kickstart journey new college rsvp,host organizations new college interdisciplinary arts sciences west valley career services trio sss stem west,food stuff,welcome event,asu west valley center mall courtyard faculty administration building university center building w thunderbird rd glendale glendale,0
