event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
Entheogenic Mysticism,2024-11-06 18:30:00,"Come join Psychedelics club this week for a discussion about entheogenic mysticism. Entheogens, psychoactive substances used in sacred contexts, have a close relationship with mystical, spiritual, or religious experiences. Come learn about this close relationship and how it it plays an essential role in the psychedelic experience. Food and snacks will be provided!",Host OrganizationT The Psychedelics Club at , Food,"Club Meetings, General, Sync, New Student Experience",MU 246 Coconino,0
Essentials of Discriminative AI and Convolutional Neural Networks,2024-11-13 10:00:00,"In this Open Lab, Namig Abbasov, Digital Humanities Analyst, will first define the boundaries of discriminative AI, comparing it to generative AI. Then we will explore several techniques in discriminative AI and why they are discriminative. In the third part, we will cover discriminative techniques in deep learning and dive into Convolutional Neural Networks (CNNs), first demonstrating how they work and then outlining major architectures such as AlexNet, ResNet and EfficientNet as much as our time allows. Register: https://asu.libcal.com/event/12733629", Library,,,Online,0
Essentials of Generative AI and Large Language Models,2024-10-02 10:00:00,"In this Open Lab, Digital Humanities Analyst Namig Abbasov, will cover generative AI and large language models (LLMs). We will first define what generative AI is and how it works. Attendees will learn about the differences between generative AI and discriminative AI, followed by an introduction to generative models such as Generative Adversarial Networks (GANs) and Variational Autoencoders (VAEs). In the last part of the Open Lab, we will explore principles of transformer architecture and how their advent became a defining moment in generative AI, turning into fundamental building blocks for LLMs. Register: https://asu.libcal.com/event/12733554", Library,,,Online,0
FLCs for FYS,2024-08-15 16:00:00,"This is just for new, incoming freshmen! Meet some of the faculty who will teach your education classes during your freshman year. Learn about your college classes, and get your questions about college level work answered!",Host Organizations Teachers College Office of Academic and Career Success (OACiS)   Tempe    West Valley,,Welcome Event,Online,0
FSL Risk Management Training,2024-08-26 17:00:00,Semesterly risk management training for chapter executive boards,Fraternity & Sorority Life,,,Greek Leadership Community Center Room 206/208,0
FSL Welcome Back Block Party- Fraternity Forum,2024-08-19 18:00:00,"  Join Fraternity and Sorority Life for their Welcome Back event at the Fraternity Forum. Meet our social Greek Letter Organizations from the Interfraternity Council (IFC), National Pan Hellenic Council (NPHC), Multicultural Greek Council (MGC), and National Association of Latino Fraternal Organizations (NALFO).",Fraternity & Sorority Life,,"Clubs and Organization Information, General, Welcome Event, In-Person Event, New Student Experience","Greek Leadership Village Lawn & Greek Leadership Community Center915 S. Rural Road , Tempe, ",0
FSL Welcome Back Block Party- Panhellenic Preview & Sorority Showcase,2024-08-19 10:30:00,"Join Fraternity and Sorority Life for their Welcome Week event! Meet our organizations and learn more about all of our sororities at Arizona State University. You will have the opportunity to meet members of all the FSL related sororities on campus and get a sneak peak at the Greek Leadership Village and Greek leadership Community Center. Meet our social Greek Letter Organizations from the Panhellenic Council (CPH), National Pan Hellenic Council (NPHC), Multicultural Greek Council (MGC), and National Association of Latino Fraternal Organizations (NALFO) and learn more about their recruitment and intake practices and expectations.",Fraternity & Sorority Life,,Welcome Event,Greek Leadership Community Center + Greek Leadership Village,0
Fall Banquet,2024-11-22 17:00:00,We will honor our graduating Seniors and celebrate our semester accomplishments,"Lambda Theta Nu Sorority, Inc",,,GLCC,0
Fall Carnival,2024-09-13 18:00:00,"Fall Carnival is the Asian/Asian Pacific American Students' Coalition (AAPASC) annual ASU Welcome event! Explore our diverse 20+ member organizations, engage in games, win prizes, and enjoy performances led by members of our community. Come and meet our organizations, have fun with your friends, and make new ones!",Asian/Asian Pacific American Student Coalition, Food   Stuff,"Welcome Event, In-Person Event",SDFC Fields,0
Fall Formal Recruitment Round 1,2024-08-22 13:00:00,Viewing chapter videos with recruitment groups!, Panhellenic Council,,,"Greek Leadership Village975 S Rural Rd, Tempe, ",0
Fall Formal Recruitment Round 2,2024-08-23 08:00:00,Philanthropy Round of Formal Recruitment, Panhellenic Council,,,"Greek Leadership Village975 S Rural Rd, Tempe, ",0
Fall Formal Recruitment Round 3,2024-08-30 16:00:00,Sisterhood round of formal recruitment., Panhellenic Council,,,"Greek Leadership Village975 S Rural Rd, Tempe, ",0
Fall Formal Recruitment Round 4,2024-09-01 08:00:00,Preference round of formal recruitment.,Unknown,,,"Greek Leadership Village975 S Rural Rd, Tempe, ",1
Fall Welcome Meeting,2024-08-27 17:45:00,GIS at ASU will host its first meeting of the 2024 2025 school year. An overview of the organization will be provided as well as an introduction to this year's officers. We look forward to meeting all of our new members!,Gamma Iota Sigma Kappa Chapter at , Food,"Career and Professional Development, Club Meetings","WXLR 206901 S Palm Walk, Tempe, ",0
Fall Welcome Student Reception at ASU California Center Grand,2024-08-21 17:30:00,"Join us for the Fall Welcome Student Reception at the California Center Grand, taking place in the beautiful Grand Hope Park! This exciting event is the perfect opportunity for new and returning students to come together and kick off the new semester in style. Network with fellow students, meet our dedicated staff and esteemed faculty, and enjoy a festive atmosphere filled with great food, refreshments, and lively music. Get ready to immerse yourself in the vibrant community at the California Center, make new connections, and fuel your excitement for the upcoming academic year.",Host Organizations Herberger Institute Student Engagement and Creative Career Services  New Student Programs A  California Center, Food,"New Student Experience, California Center Events","California Center Grand919 S Grand Avenue, Los Angeles, CA",0
Fall Welcome Tabling,2024-08-22 10:00:00,"Come visit our table by the Memorial Union during the first two weeks of class! Snacks and swag will be provided! Come find out what it means to know Christ, to make him known, and to help others do the same!",The Navigators at , Food   Stuff,"Clubs and Organization Information, Welcome Event, Memorial Union & Student Pavilion Programs, In-Person Event, New Student Experience","Memorial Union301 E Orange St, Tempe, ",0
Field Trip to the Superior Court of Pinal County,2024-10-02 08:45:00,"Join us on October 2 for an excursion to the Superior Court of Pinal County! Only 30 spots open!  This will be an opportunity to tour the various department (including the Courthouse and Detention Center), network with different staff, ask questions to the Superior Court Directors and Judges, and more! Lunch will be provided. The tour will begin promptly at 10:30 AM. Superior Court of Pinal County: 971 N. Jason Lopez Circle, Florence, AZ 85132   Transportation to the Superior Court of Pinal County will be provided. We will meet at 8:45 AM at Suite 150 in the University Center (UCENT) at the Downtown Campus. Suite 150 is on the first floor of UCENT directly across from the bank.  Shuttle Meeting Spot: 411 N Central Ave, Suite 150, Phoenix, AZ 85004",Watts College of Public Service and Community Solutions, Food,"Career and Professional Development, General, Community Service, Civic Engagement","Superior Court of Pinal County 971 N Jason Lopez Circle, Florence ,  ",0
Financial Literacy and Money Management,2024-08-06 16:00:00,"Meet with MLFTC's Financial Coach to discuss the basics of what expenses you'll need to plan for while enrolled, what financial aid options might be available to you, and learn why federal loans aren't such a bad thing.",Unknown,,Welcome Event,Online,0
Find My Classes,2024-08-21 10:00:00,"🔍 Find My Classes 📚 Join us on Wednesday, August 21st, from 10 AM to 12 PM at the Student Center @ the Post for the Find My Classes event! ASU students will guide you around various academic buildings and help you locate your classrooms. Get familiar with the campus layout, ask questions, and feel more confident about your first day of classes. This is a great opportunity to meet fellow Sun Devils and ensure you're prepared for the semester ahead. Don't miss out on this helpful tour! 🚶‍♂️✨", Downtown,,"Welcome Event, In-Person Event","Student Center @ The Post522 N. Central Ave, Phoenix, ",0
Find My Classes Tours (Poly),2024-08-19 13:00:00,"Join us for a ""Find My Classes Tour""   led by Polytechnic Student Leaders and Staff   so you can know your way around campus for the Fall Semester. Bring some water and meet at the Student Union West Patio.  Bring a copy of your schedule to find the buildings your classes will take place in. You will also learn about other must know spots such as the Sun Devil Fitness Complex, the Student Union, the Academic Center and Library, and many more buildings across campus.  Tours will be held:  August 19 @ 1 pm  August 19 @ 6 pm  August 21 @ 10 am  August 21 @ 5 pm",Unknown,,"Welcome Event, In-Person Event, New Student Experience",Student Union - West Patio,0
First Day Frozen Treats,2024-08-22 11:00:00,"This event is open to Barrett, The Honors College students. Drop in during the first day of school for a frozen treat! Beat the heat and cool off in the Barrett Suite.",Barrett Polytechnic, Food   Stuff,"Welcome Event, Barrett Student Organization, In-Person Event","Barrett Suite, Lantana Hall5885 S. Twining St.",0
First Day Photo and Cup of Joe,2024-08-22 09:00:00,"Celebrate the first day of the fall semester with a First Day Photo and a Cup of Joe! Stop by the Student Union and take a selfie with ""Sparky"" and grab a cup of coffee.", Polytechnic, Food,"Student Engagement Event, Welcome Event, In-Person Event, New Student Experience",Student Union,0
First Day of Class Photos - West Valley,2024-08-22 10:00:00,"SAY CHEESE! Forgot to take your first day of class photo this morning? Don't worry, come and take it with us and grab some fuel snacks on the go! Make your first day at ASU memorable!",Student Connection and Community - West, Food   Stuff,Welcome Event,Fletcher Walkway,0
First General Meeting,2024-08-26 13:30:00,"Join Youthmappers at ASU for our first general meeting! We will do introductions, explain what Youthmappers is all about and give our vision for the fall semester. Then with our remaining time we'll do a basic Openstreetmap tutorial to get everyone ready for our future mapping events.  Since we are a hybrid club, we invite online students to join us for all of our meetings on zoom!",YouthMappers at ,,,"Rob and Melani Walton Center for Planetary HealthRob & Melani Walton Center For Planetary Health, 777 E University Dr, Tempe,  85287, États-Unis",0
Food Around the World,2024-10-21 18:00:00,An event to strengthen our knowledge of Diversity Equity Inclusion and Professional Development., Business School Council,,,Deans Patio,0
Food box packing,2024-11-09 12:00:00,Service event.,Unknown,,,"St. mary's Food bank3131 West Thomas Road, Phoenix, 85017",1
Formal,2024-11-16 19:00:00,Socializing with our sisters.,Kappa Delta,,,"Palzo6250 N 19th Ave, Phoenix,  85015",1
Founders day,2024-10-20 17:30:00,Founder's day for Kappa Delta,Kappa Delta,,," Country Club5668 E Orange Blossom Ln, Phoenix,  85018",1
Free Fridays with CaBSS,2024-08-23 14:00:00,"Join CaBSS this Friday and every Friday this summer for some FREE refreshing food. Each week we will be supplying some of summer's sweetest treats from ice cream sandwiches to popsicles, doughnuts, and more. Take a break from your daily grind and join us for a quick moment of relaxing and socializing. Events will be located at the Biodesign Patio!",Chemical and Biological Sciences Society, Food,Graduate,"Biodesign C797 E Tyler St, Tempe, ",0
GNO Edson College New Graduate Student Orientation,2024-08-21 08:00:00,Join us at the ASU Edson College of Nursing and Health Innovation new graduate student orientation to learn more about GNO membership and purchase GNO merchandise while enjoying a light breakfast with us!,Graduate Nurses Organization, Food,"Clubs and Organization Information, Welcome Event, Graduate, In-Person Event","ASU Health North Lobby550 North 3rd Street, Phoenix, ",0
GNO Fall Social Event,2024-09-24 17:00:00,"Join us at our Fall semester social event! Eat some delicious food, grab a drink, and network with fellow classmates, faculty, and alumni!",Graduate Nurses Organization,,"Club Meetings, Clubs and Organization Information, Welcome Event, Graduate, In-Person Event, New Student Experience","The Pub at Thunderbird401 North 1st Street, Phoenix, ",0
GWA - Fall Welcome event,2024-09-19 17:30:00,"GWA will be hosting it's first Fall 2024 event! Join us for an evening filled with games, food, and a discussion about our next book club event!",Graduate Women's Association at Arizona State University,,,Coconino roomMU 246,0
Game Night,2024-08-14 17:00:00,"Roll your dice and be the board game King or Queen for the night! ISSC and the library will have a table top game night once a month on the 2nd Wednesday of every month in Hayden Library for international students, as well as domestic students! This event is great to get to know other students as well as librarians and the library resources. If you have a board game you would like to request for one of our game nights, please let us know in advance and we will request it! RSVP here: https://na.eventscloud.com/gnfall2024",Host Organizations International Student and Scholars Center   Library, Food,"Graduate, New Student Experience, Cultural Connections and Multicultural Communities of Excellence","Hayden Library - P.O.D. Market 300 E Orange St., Tempe, ",0
Game Night,2024-08-28 18:00:00,"    Join us for the BAC Game Night on Wednesday, August 28th, from 6:00 PM to 9:00 PM at Cooley Ballroom A on ASU's Polytechnic Campus! It's going to be a fun filled evening with a variety of games, snacks, and great company. Whether you love board games or just want to relax and meet new friends, this is the perfect event to unwind and enjoy some laughs. Hosted by the Black African Coalition, this night is all about bringing our community together, so don’t miss out on the chance to connect and have a blast. See you there!",Black African Coalition, Food,"Clubs and Organization Information, Welcome Event, Sync, Multicultural Communities of Excellence, Cultural Connections and Multicultural Communities of Excellence","Cooley Ballroom A5999 S Backus Mall, Mesa,  85212, Mesa, ",0
Game Night with CaBSS,2024-08-13 19:00:00,"Join CaBSS, your fellow scientists, and other friends of the departments as we socialize, game, and meet new friends over some competitive games! CaBSS is happy to provide some appetizers to fuel your competitive gaming. Come on out, the CaBSS will be here the first Tuesday of every month!",Chemical and Biological Sciences Society, Food,Graduate,"Snakes and Lattes20 W 6th St., Tempe, ",0
Ganesh Utsav,2024-09-06 18:00:00,"Namaste sun devils!  Immerse yourself in the vibrant spirit of Ganesh Utsav! 🎉 Experience an unforgettable evening filled with pulsating music, mesmerizing dance performances, and soulful Ganesh Puja. Indulge in delectable Indian cuisine, engage in lively games, and feel the rhythmic beats of the Dhol Tasha ensemble.  Don't miss this cultural extravaganza that promises joy and festivities! 🕺🥁🎶 Be a part of the tradition, the joy, and the unity. See you there!","Hindu YUVA - Youth for Unity, Virtues, and Action at  Arizona State University", Food   Stuff,"Clubs and Organization Information, PAB Event, Culture @ ASU, International, Graduate, In-Person Event","Student Pavilion - Senita Ballroom400 E Orange St, Tempe, ",0
Ganesh Vinayagar Chaturthi,2024-09-11 17:00:00,"Om Gan Ganpataye Namah   Greetings from South Indian Vedic Association and Sri Venkata Krishna Kshetra Temple.   Join us in celebrating the joyous occasion of Ganesh Chaturthi. A time to honor and celebrate the birth of Pillayar Vinayaka with devotion, reverence and festive spirit. Immerse yourself in an event filled with cultural vibrancy, traditional rituals and spiritual joy.  Experience the sacred rituals of Ganesha Puja and enjoy performances of ganesha songs and traditional dances.  Engage in delightful skits that brings ganesha's stories to life and participate in exciting games.  Let’s come together to celebrate our heritage and foster a deeper connection with Lord Ganesha/Pillayar/Vinayaka/Vinayagar. Your presence will make this celebration even more special. We look forward to celebrating this auspicious occasion with you!  Event Highlights: Ganesh Puja and Priest Blessing, Interactive Story Play and Ganesha Games, Traditional Dance and Singing Events, Delicious South Indian Food and Giveaways.",South Indian Vedic Association, Food   Stuff,"Culture @ ASU, International"," Student Pavilion - Senita Ballroom  400 E Orange St., Tempe, ",0
General Body Meeting,2024-08-26 17:00:00,Everyone interested or already a club member is welcome to join to discuss how to fight food insecurity on ASU campuses.,Sun Devil Swipes,,,Online,0
General Body Meeting,2024-09-05 18:00:00,This is the first general body meeting of the year where current members and executives of SDM present the club and its recruitment process to prospective members.,Sun Devil Motorsports - Formula SAE,,"Club Meetings, Clubs and Organization Information",PSH 152Physical Science Building H Room 152,0
Girl Scout event,2024-09-29 10:00:00,Helping the girl scout's earn their badges.,Kappa Delta,,,GLV lawnglv lawn,1
Girl Scout event,2024-10-27 13:00:00,Helping the Girl Scouts get their badges.,Kappa Delta,,,KD GLVKD GLV,1
Glo BINGO Hosted by the College of Integrative Sciences and Arts,2024-09-06 18:00:00,"Prepare yourself for an unforgettable evening packed with bright lights, music, and bingo like you've never experienced before. This isn't just a game; it's a night of community, food, and vibrant glow party favors. Hosted by the College of Integrative Sciences and Arts but students from all majors are welcome.",Host Organizations College of Integrative Sciences and Arts   Polytechnic, Food   Stuff,"Welcome Event, In-Person Event","Polytechnic, Cooley BC",0
Global Futures Opportunities Fair,2024-08-21 14:00:00,"The Global Futures Opportunities Fair shares ways for students to engage in opportunities in programs and initiatives affiliated with the Global Futures Laboratory and the College of Global Futures. This event is open to all students who want to learn more about opportunities to connect with research, student employment, community engagement, student organizations, courses and academic programs, and resources focused on shaping a positive future! Tables will be set up in the 3rd, 4th, and 5th lobbies in the Walton Center for Planetary Health. Let us know you're coming and register here.",College of Global Futures, Stuff,"Clubs and Organization Information, Welcome Event, Sustainability, Change The World, In-Person Event","Walton Center for Planetary Health - Tempe Campus777 E. University Dr., Tempe",0
Gold Friday 8/23,2024-08-23 10:00:00,Students can wear Gold on Fridays to win a prize.,Programming and Activities Board - Downtown Phoenix, Stuff,PAB Event,Outside at Taylor Mall,0
Gold Friday 8/30,2024-08-30 10:00:00,Students can wear Gold on Fridays to get a prize.,Programming and Activities Board - Downtown Phoenix, Stuff,"PAB Event, In-Person Event",Outside at Taylor Mall,0
Gold Friday 9/6,2024-09-06 10:00:00,Students can wear Gold on Friday to get an incentive.,Programming and Activities Board - Downtown Phoenix, Food,"PAB Event, In-Person Event",Outside at Taylor Mall,0
Gold Patrol!,2024-08-23 11:00:00,On Friday we wear GOLD! Stop by the Gold Patrol table and get rewarded!, Polytechnic, Food   Stuff,"PAB Event, Sun Devil Athletics, In-Person Event",Backus Mall,0
Gold Patrol!,2024-10-04 11:00:00,On Friday we wear GOLD! Stop by the Gold Patrol table and get rewarded! Hosted by: PAB & Inferno Insiders, Polytechnic, Food   Stuff,"PAB Event, Sun Devil Athletics, In-Person Event",Backus Mall,0
Golf Land,2024-08-29 19:00:00,To have members interact in a casual environment and strengthen connections., Business School Council,,,"Golf Land, Adress: 155 W Hampton Ave, Mesa,  85210",0
Golf Panel,2024-10-21 18:00:00,"Students will gain valuable insights into the golf industry's current trends, marketing strategies, and career opportunities from experienced professionals. Additionally, they will have the chance to network with industry leaders, enhancing their knowledge and expanding their professional connections.",Sports Business Association at ,,,"MU Cochise 228301 E Orange St., Tempe,  85281",0
Grad Student Potluck,2024-08-30 19:00:00,"Join us for a casual evening off campus to meet with other grad students and build community! This event will give graduate students an opportunity to network with their colleagues. The focus will be helping students get advice from their peers and find help if they are struggling with any issues in their program or personal life. The potlucks are a monthly gathering for graduate students to share their struggles and worries with their peers in order to find support, validation, and the motivation to keep making progress in their program. The potluck style also gives them an opportunity to share their culinary culture with their peers. Some food will be provided, but we encourage everyone to bring food and/or drinks to share either homemade from their own culture or store bought. Both work! RSVP here: links.asu.edu/GradPotluck",Mutual Aid, Food,"Welcome Event, Graduate","The Coven Community Center2202 S Terrace Road, Tempe, ",0
Grills and Games,2024-10-11 13:00:00,Grilling for PCAA and our philo week,Kappa Delta,,,GLV lawnGLV lawn,0
HCCB Viva La Vida Wellness Bash,2024-09-04 17:00:00,"     Welcome to HCCB’s Viva La Vida Wellness Bash! Test your health knowledge with fun trivia, show off your moves in Just Dance, and unleash your creative side by painting coasters and making keychains! And the best part? Free food! As a reward for participating in these activities, you can enjoy refreshing smoothies or delicious yogurt bowls! Don’t miss out on HCCB’s first advocacy event of the year. Come for some great fun and delicious food while taking a step towards better health!",Honors College Council at Barrett, Food   Stuff,Barrett Student Organization,"Honors Hall Room 123821 East Lemon Mall, Tempe,  85281",0
HCCB Welcome Back Block Party,2024-08-22 18:00:00,"Kick off the new school year with HCCB’s Welcome Back Block Party! Get lost in our exciting corn maze, show off your skills in skee ball, and conquer our mini golf course. We’ve got yard games galore and many other fun activities lined up just for you!! Feeling hungry? We've got you covered with delicious popcorn and churros, plus refreshing drinks and cool treats to keep you energized and hydrated. Don't miss out on the ultimate welcome back bash – come for the games, stay for the fun, and make some unforgettable memories with new friends!",Honors College Council at Barrett, Food   Stuff,"Welcome Event, Barrett Student Organization","Great Court in the Barrett Complex821 East Lemon Mall, Tempe, ",0
HOSA St. Mary's Volunteer Event,2024-09-28 12:00:00,"Join us for HOSA's St. Mary's Volunteer Event, a fulfilling day of giving back at St. Mary’s Food Bank! This volunteer event is a fantastic opportunity to support the mission of providing nutritious food to those in need across our community. This special event brings together students, faculty, and community members who are passionate about making a difference.",HOSA at Arizona State University - West Valley,,"Community Service, In-Person Event","St. Mary's Food Bank2831 North 31st Avenue, Phoenix, ",1
HOSA Suture Clinic Event,2024-10-23 16:30:00,"Join us for HOSA's Suture Clinic Event, a hands on educational workshop designed for students interested in healthcare and medical professions. This clinic offers a unique opportunity to gain practical experience in basic suturing techniques, essential for any aspiring or non aspiring medical professional.",HOSA at Arizona State University - West Valley,,"Career and Professional Development, In-Person Event","La Sala Ballroom (University Center Building)4701 W Thunderbird Rd, Glendale, ",0
HOSA's Guest Speaker: Dr. Joshua LaBaer,2024-10-02 16:00:00,"Join us in welcoming Dr. Joshua LaBaer, a pioneer in breast cancer research, executive director and professor in ASU's Biodesign Institute and Biodesign Clinical Testing Laboratory. This event offers a unique opportunity to learn about breast cancer research, gain an understanding of what clinical research looks like, and make connections with an inspiring ASU researcher.",HOSA at Arizona State University - West Valley, Food,"Career and Professional Development, In-Person Event","University Center Building13590 N. 47th Ave., Phoenix, ",0
HOSA's Guest Speaker: Muhammad Jaasar,2024-09-18 16:00:00,"Join us for an engaging and informative session featuring Muhammad Jaasar, a dedicated medical student currently studying at University of Arizona Medical School   Phoenix. This event offers a unique opportunity to gain firsthand insight into the journey of a medical student and the world of medicine from a fresh perspective. In addition, this event give an opportunity for students to understand the medical school application process and what makes a medical student applicant stand out.",HOSA at Arizona State University - West Valley, Food,"Career and Professional Development, In-Person Event","University Center Building13590 N. 47th Ave., Phoenix, ",0
HOSA's Movie Night,2024-09-11 18:30:00,"Join us for HOSA's Movie Night on September 11, 2024, from 6:30 PM to 8:30 PM where we will be watching Inside Out 2 on the SDFC Lawn. Grab your friends, relax on the lawn, and enjoy a heartwarming sequel to one of Pixar's beloved classics. With cozy blankets and free popcorn, it's the perfect way to unwind and kick back after a busy day.",HOSA at Arizona State University - West Valley, Food,"General, In-Person Event","SDFC Front Lawn13351 N 47th Ave,, Glendale, ",0
Hayden Library Student Tour,2024-08-19 10:00:00,"New to ASU? We can help! The ASU Library has resources for you. ASU students are invited to join us for a walking tour of Hayden Library, located in the heart of ASU’s Tempe campus. Experience Hayden Library's revamped five story tower featuring interdisciplinary learning labs, community driven book collections, two reading rooms, and research services designed for ASU students. During the tour, we will share library resources and tips on how to make the most of your semester. The tour will begin at the Hayden Library Level 1 west entrance.", Library,,"Welcome Event, In-Person Event","Hayden Library, Level 1, West lobby entrance300 E. Orange Mall, Tempe, ",0
Hazing Prevention Week: Interactive Speaker,2024-09-25 18:00:00,The PHA Council Will bring in an experienced speaker versed in FSL and hazing. While presenting information to further educate our community but also offering a more interactive experience to open the community up to a larger conversation., Panhellenic Council,,Club Meetings,"Greek Leadership Community Center975 S Rural Rd, Tempe, ",0
"Help teach students what self-advocacy looks like, problem solving",2024-08-13 14:00:00,This virtual workshop will help students develop self advocacy and problem solving skills. These skills will support students in adapting to their new academic environment confidently.,Host Organizations Teachers College Office of Academic and Career Success (OACiS)   Tempe    West Valley,,Welcome Event,Online,0
Herberger Institute - Los Angeles Fall Welcome 2024,2024-08-21 13:30:00,A Herberger Institute college new student orientation and welcome for all new undergraduates in California from our ASU FIDM and The Sidney Poitier New American Film School.,Host Organizations Herberger Institute Student Engagement and Creative Career Services  The Sidney Poitier New American Film School A  California Center,,"New Student Experience, California Center Events","California Center Broadway1111 S Broadway, Los Angeles, CA",0
Herberger Institute College Assembly - All Institute Welcome 2024,2024-08-20 16:45:00,A Herberger Institute college assembly to welcome all new undergraduates in Arizona from all new Herberger Institute schools,"Host Organizations Herberger Institute Student Engagement and Creative Career Services  The Design School  School of Music, Dance and Theatre   School of Art  The Sidney Poitier New American Film School  School of Arts, Media and Engineering",,"General, Welcome Event, Memorial Union & Student Pavilion Programs, In-Person Event, New Student Experience","Student Pavilion400 E. Orange Street Tempe,  85287",0
Herberger Institute First-Year Commuter and Transfer Student Lunch,2024-08-20 13:30:00,Inviting first year off campus (commuter) students and transfer students to join us for a late lunch before the Herberger Institute College Assembly   All Institute Welcome. This is an opportunity to build community amongst each other and with different Herberger Institute faculty and staff. We look forward to meeting you!,Herberger Institute Student Engagement and Creative Career Services, Food,"Welcome Event, New Student Experience","Memorial Union, Cochise (228)301 E. Orange St., Tempe, ",0
Hispanic Heritage Month - Celebrating La Cultura,2024-09-11 12:00:00,Join the Multicultural Communities of Excellence to celebrate Hispanic culture with food and music!,Host OrganizationM Multicultural Communities of Excellence (West), Food,Multicultural Communities of Excellence,Delph Courtyard4701 W Thunderbird Rd,0
Holiday Social,2024-11-21 17:00:00,"Women in Animation will be hosting a holiday event where we will combine Thanksgiving and Christmas into a big social gathering. We will provide good food, music, and amazing company.",Women In Animation at ,,,"Martin Wong Studio900 S Forest Mall, Tempe,  85287, Martin Wong Studio",0
Hong Kong Student Association Ice-skating event,2024-10-11 12:15:00,we want to provide a chance for our SA members to experience ice skating in this semester at Mullett Arena,HONG KONG STUDENT ASSOCIATION at ,,Club Meetings,Mullett Arena,0
Hope's Women Center Packing Party event,2024-09-21 12:00:00,PHA Council will be hosting a goods drive from September 8 21 for our community service partner Hope's Women's Center. On September 22nd we will be hosting a packing party to assemble bags of all the goods to drop off at the center., Panhellenic Council,,,"Greek Leadership Community Center975 S Rural Rd, Tempe, ",1
Hot Chocolate Study Tables,2024-12-05 18:00:00,During study tables we will be doing homework and doing school work. This event will elaborate on our principle of scholarship we will be doing our own homework as well as inviting other students to join us and do their homework.,Unknown,,,Hayden C7,0
House Tours,2024-10-05 10:30:00,The parents looking at the Kappa Delta house.,Kappa Delta,,,KD glvkd glv,1
How Crowded is Your Bed,2024-10-23 19:20:00,    Opportunity to learn about safe sexual and reproductive health behaviors and attitudes.,"Zeta Phi Beta Sorority, Inc.",,,Hayden C7,0
How Data Science Tools Can Enhance Your Literary Analysis,2024-10-30 10:00:00,"Embark on an exciting journey as we explore the fascinating crossroads of literary analysis and data science! Recent advances in AI, large language models, and other advanced computational techniques have been revolutionizing literature studies across the board. Join us in our Open Lab to learn how you can take your first steps in using data science and analytics tools to enhance your literary analysis. During this immersive session, we will guide you through some computational distant reading techniques, such as sentiment analysis and topic modeling, that can help you unveil the intricate layers of meaning within literary works. Best of all, we will use R, an open source and free software used by beginners and experts alike. Don’t know how to code yet? No problem! Prior experience in data science or coding is not necessary to participate, and we love answering questions. This Open Lab is open to all interested in learning and will be taught at an entry to intermediate level. Abi Mercado Rivera will showcase practical exercises using classic literature and show you how to present your results using simple visualizations. Listen in or code along! Join us to discover the potential of data science in unlocking the secrets held within the pages of your favorite books! Register: https://asu.libcal.com/event/12733592", Library,,,Online,0
How We Got the Bible,2024-10-23 12:00:00,"Join us for free pizza, several raffle prizes, and deep discussion led by Dr. John Meade (prof. of OT history)! The best selling book of all time, the Bible, has a very interesting history. Who copied the manuscripts? How were the books chosen? And what misunderstandings have people had about how we got the Bible? Dr. Meade will introduce this topic, then most of our time will be dedicated to open discussion. This is a friendly environment to share doubts, questions, challenges, and alternative viewpoints!",Ratio Christi at  Tempe, Food   Stuff,"Club Meetings, Clubs and Organization Information, General, In-Person Event","MU 246301 E Orange Street, Tempe, ",0
Hudson Park Beautification,2024-08-03 09:00:00,"Hudson Park clean up, barbecue fellowship and fun time and games with volunteers and neighbors at the park!",Unknown,,,"Hudson Park, 1430 S Cedar St, Tempe,  85281",1
I Can Help Booth,2024-08-19 07:00:00,"Have questions about where to find your classes? How to get involved? Or looking for a specific building? Stop by an I Can Help Booth to speak to current students to get your questions answered and participate in different events involving Community Connection, Sun Devil Tuesday, Wellness, Arts & Culture, and Fork Em Friday.",New Student Programs,,,"Hassyampa/Barrett Breezeway1201 S McAllister Ave, Tempe,  85281, Memorial Union BreezewayMemorial Union Breezeway, Palm Walk/Tyler MallPalm Walk/Tyler Mall, Paloverde EastPaloverde East",0
I Don't Have Enough Faith to be an Atheist (w/ Frank Turek),2024-09-09 19:00:00,"Come join us for this powerful one night event as award winning author and speaker, Dr. Frank Turek, Turek presents ""I Don't Have Enough Faith to Be an Atheist."" In this thought provoking presentation, Dr. Turek will discuss why the Christian faith is reasonable, and why it actually takes blind faith to believe that God doesn't exist. Agree or disagree, Dr. Turek would love to hear your view! Dr. Turek always leaves an extended period of open mic time to address questions and arguments from the audience. This event is proudly sponsored by Ratio Christi at ASU, Tempe!",Ratio Christi at  Tempe,,"Club Meetings, Clubs and Organization Information, General, Welcome Event, In-Person Event, New Student Experience","Student Pavilion: Senita Ballroom400 E Orange St., Tempe,  85287, Tempe, ",0
IFC Walkaround,2024-08-25 12:00:00,Tabling event for all IFC chapters. Attendance is open to all ASU men interested in joining greek life. ASU students will be able to learn about all of our IFC organizations and will receive information on how to join.,Interfraternity Council (IFC),,,Mullet Arena,1
IWFM event,2024-09-12 17:00:00,Celebrating international women's friendship month by making friendship bracelets.,Kappa Delta,,,KD GLVKD GLV,0
